part_number,part_description,material,dimensions,category
FAS-BALLBEARING-00001,BALL BEARING SERIES 6201-ZZ POLYAMIDE,Polyamide,Series 6201-ZZ,Bearings
FAS-O-RING-00002,O-RING 12MM ID X 1.5MM CS BARE COPPER,Bare Copper,12mm ID x 1.5mm CS,Seals & Gaskets
FAS-SETSCREW-00003,SET SCREW M8X2.0X25MM BRASS,Brass,M8x2.0x25mm,Fasteners
FAS-HEXNUT-00004,HEX NUT  A2-70,A2-70,"",Fasteners
FAS-GASKET-00005,GASKET  NYLON,Nylon,"",Seals & Gaskets
FAS-LOCKNUT-00006,LOCK NUT  18-8,18-8,"",Fasteners
FAS-LOCKNUT-00007,LOCK NUT  GR 5,Gr 5,"",Fasteners
FAS-RELAY-00008,RELAY  BEARING STEEL,Bearing Steel,"",Electrical
FAS-SPRING-00009,SPRING  NBR,NBR,"",Other
FAS-SWITCH-00010,SWITCH  POLYAMIDE,Polyamide,"",Electrical
FAS-O-RING-00011,O-RING 15MM ID X 2.0MM CS VITON,Viton,15mm ID x 2.0mm CS,Seals & Gaskets
FAS-CYLINDER-00012,CYLINDER  NYLON,Nylon,"",Hydraulic/Pneumatic
FAS-NEEDLEBEARING-00013,NEEDLE BEARING SERIES 6202-ZZ FKM,FKM,Series 6202-ZZ,Bearings
FAS-O-RING-00014,O-RING 44MM ID X 2.0MM CS BARE COPPER,Bare Copper,44mm ID x 2.0mm CS,Seals & Gaskets
FAS-FLANGENUT-00015,FLANGE NUT  CARBON STEEL,Carbon Steel,"",Fasteners
FAS-O-RING-00016,O-RING 30MM ID X 3.0MM CS FLUOROCARBON,Fluorocarbon,30mm ID x 3.0mm CS,Seals & Gaskets
FAS-SETSCREW-00017,"SET SCREW 5/16""-20 X 1-1/4"" BRASS",Brass,"5/16""-20 x 1-1/4""",Fasteners
FAS-CYLINDER-00018,CYLINDER  FLUOROCARBON,Fluorocarbon,"",Hydraulic/Pneumatic
FAS-LOCKWASHER-00019,LOCK WASHER  YELLOW BRASS,Yellow Brass,"",Fasteners
FAS-SHAFTSEAL-00020,SHAFT SEAL  COPPER,Copper,"",Seals & Gaskets
FAS-FLATHEADSCREW-00021,"FLAT HEAD SCREW 1/4""-20 X 1/2"" BRASS",Brass,"1/4""-20 x 1/2""",Fasteners
FAS-FLATHEADSCREW-00022,FLAT HEAD SCREW M16X2.0X60MM GRADE 8,Grade 8,M16x2.0x60mm,Fasteners
