part_number,part_description,material,dimensions,category
98409A525,"Nylon Ball Bearing, Series 6201-ZZ Length",,,
93570A692,"Copper O-Ring, 12mm ID  Thread Size,  1.5mm CS Length",,,
96698A284,"Yellow Brass Set Screw, M8 Thread Size, 2.0 Thread Size, 25mm Length",,,
98835A236,"SS Hex Nut,  Length",,,
94888A574,"Nylon Gasket,  Length",,,
91848A132,"Stainless Lock Nut,  Length",,,
90797A350,"Grade 5 Lock Nut,  Length",,,
93836A935,"52100 Relay,  Length",,,
98540A326,"Nitrile Spring,  Length",,,
98592A426,"Polyamide Switch,  Length",,,
92365A925,"FKM O-Ring, 15mm ID  Thread Size,  2.0mm CS Length",,,
93331A438,"Polyamide Cylinder,  Length",,,
99911A717,"FKM Needle Bearing, Series 6202-ZZ Length",,,
90251A316,"Bare Copper O-Ring, 44mm ID  Thread Size,  2.0mm CS Length",,,
93921A665,"Gr 5 Flange Nut,  Length",,,
97635A200,"FKM O-Ring, 30mm ID  Thread Size,  3.0mm CS Length",,,
90265A367,"Brass Set Screw, 5/16""-20  Thread Size,  1-1/4"" Length",,,
98180A663,"Viton Cylinder,  Length",,,
95770A273,"Brass Lock Washer,  Length",,,
90104A522,"Copper Shaft Seal,  Length",,,
97993A116,"Yellow Brass Flat Head Screw, 1/4""-20  Thread Size,  1/2"" Length",,,
92937A209,"Gr 8 Flat Head Screw, M16 Thread Size, 2.0 Thread Size, 60mm Length",,,
96112A515,"Buna-N Bearing Housing, Series 6205-Open Length",,,
96213A486,"Polyamide Relay,  Length",,,
98653A143,"CS Flat Head Screw, M10 Thread Size, 1.0 Thread Size, 16mm Length",,,
95152A116,"Copper Valve,  Length",,,
92292A909,"Yellow Brass Flat Head Screw, M12 Thread Size, 2.5 Thread Size, 10mm Length",,,
99758A506,"Grade 5 Lock Nut,  Length",,,
97075A290,"A2-70 Threaded Rod,  Length",,,
92526A489,"Bare Copper O-Ring, 18mm ID  Thread Size,  3.0mm CS Length",,,
95896A879,"Polyamide Hose,  Length",,,
90430A191,"CS Lock Nut,  Length",,,
91387A842,"Rubber Valve,  Length",,,
92390A164,"Rubber Terminal,  Length",,,
94040A838,"18-8 Hex Bolt, M16 Thread Size, 1.75 Thread Size, 16mm Length, meets DIN 931 / ISO 4017",,,
95443A961,"Gr 8 Lock Washer,  Length",,,
99738A239,"Bearing Steel Fitting,  Length",,,
97848A421,"Stainless Lock Washer,  Length",,,
90440A844,"Type 304 Set Screw, M12 Thread Size, 0.7 Thread Size, 10mm Length",,,
94961A347,"Viton Quick-Connect,  Length",,,
99539A510,"Bare Copper Thrust Bearing, Series 6202-ZZ Length",,,
98796A708,"Black Oxide Hex Nut,  Length",,,
96129A500,"Yellow Brass Flat Washer,  Length, meets DIN 125 / ISO 7089",,,
95707A419,"Nylon Hose,  Length",,,
97801A199,"FKM Quick-Connect,  Length",,,
90370A969,"Buna-N Fitting,  Length",,,
99042A263,"Nitrile Connector,  Length",,,
99459A204,"CS Hex Nut,  Length",,,
99091A270,"Nitrile Needle Bearing, Series 6204-2RS Length",,,
96290A675,"Stainless Flange Nut,  Length",,,
91354A678,"Chrome Steel Gasket,  Length",,,
99383A216,"Copper Quick-Connect,  Length",,,
90681A878,"Grade 5 Hex Bolt, 5/16""-13  Thread Size,  1-1/2"" Length, meets DIN 931 / ISO 4017",,,
97193A986,"Viton Relay,  Length",,,
98720A387,"NBR Terminal,  Length",,,
94543A987,"SS Threaded Rod,  Length",,,
95277A948,"Stainless Set Screw, M5 Thread Size, 2.0 Thread Size, 25mm Length",,,
92329A691,"Gr 8 Lock Washer,  Length",,,
97511A750,"Bearing Steel Cylinder,  Length",,,
93470A606,"52100 Needle Bearing, Series 6205-2RS Length",,,
92139A679,"Grade 5 Lock Nut,  Length",,,
90266A227,"Gr 8 Lock Washer,  Length",,,
97009A307,"CS Flange Nut,  Length",,,
96092A780,"Chrome Steel Quick-Connect,  Length",,,
97032A771,"Carbon Steel Lock Nut,  Length",,,
97826A172,"Carbon Steel Lock Nut,  Length",,,
95133A476,"Copper Terminal,  Length",,,
95753A839,"Gr 8 Hex Nut,  Length",,,
96291A459,"Grade 5 Flange Nut,  Length",,,
99846A714,"Type 304 Lock Washer,  Length",,,
94942A310,"SS Socket Head Cap Screw, M8 Thread Size, 1.25 Thread Size, 10mm Length, meets DIN 912 / ISO 4762",,,
96322A215,"A2-70 Flat Washer,  Length, meets DIN 125 / ISO 7089",,,
99312A530,"FKM Ball Bearing, Series 6200-Open Length",,,
99623A169,"Brass Hex Nut,  Length",,,
96806A533,"Type 304 Set Screw, M5 Thread Size, 1.5 Thread Size, 16mm Length",,,
95077A180,"Buna-N Switch,  Length",,,
96401A700,"NBR Needle Bearing, Series 6200-2RS Length",,,
91956A112,"Copper Needle Bearing, Series 6203-2RS Length",,,
96819A837,"Nitrile Needle Bearing, Series 6201-Open Length",,,
92938A328,"Copper Switch,  Length",,,
96044A305,"Buna-N Needle Bearing, Series 6202-Open Length",,,
99694A605,"Polyamide Wire,  Length",,,
